CONTEXT,ZSG
 |  | 114,NA
 |  | 115,NA
 |  | 116,NA
 |  | 117,NA
 |  | 119,NA
 |  | 121,NA
 |  | 122,NA
 |  | 123,NA
 |  | 124,NA
 |  | 125,NA
 |  | 126,NA
 |  | 127,NA
 |  | 127a,NA
 |  | 127b,NA
 |  | 127x,NA
 |  | 128,NA
 |  | 129,NA
 |  | 130,NA
 |  | 131,NA
 |  | 131a,NA
 |  | 131b,NA
 |  | 131d,NA
 |  | 132,NA
 |  | 134,NA
 |  | 135,NA
 |  | 136,NA
 |  | 136a,NA
 |  | 136b,NA
 |  | 136t,NA
 |  | 139,NA
 |  | 140,NA
 |  | 141,NA
 |  | 142,NA
 |  | 144,NA
 |  | 145,NA
 |  | 146,NA
 |  | 147,NA
 |  | 148,NA
 |  | 150,NA
 |  | 151,NA
 |  | 156,NA
 |  | 160,NA
 |  | 161,NA
 |  | 162,NA
 |  | 163,NA
 |  | 164,NA
 |  | 165,NA
 |  | 166,NA
 |  | 166a,NA
 |  | 166b,NA
 |  | 168,NA
 |  | 169,NA
 |  | 170,NA
 |  | 171,NA
 |  | 172,NA
 |  | 173,NA
 |  | 174,NA
 |  | 176,NA
 |  | 178,NA
 |  | 178a,NA
 |  | 178b,NA
 |  | 180,NA
 |  | 183,NA
 |  | 184,NA
 |  | 185,NA
 |  | 186,NA
 |  | 188,NA
 |  | 189,NA
 |  | 191,NA
 |  | 192,NA
 |  | 194,NA
 |  | 195,NA
 |  | 196,NA
 |  | 197,NA
 |  | 198,NA
 |  | 199,NA
 |  | 200,NA
 |  | 201,NA
 |  | 65l,NA
 | 01 | 026,NA
 | 02 | 026,NA
 | 02 | 045,NA
 | 03 | 026,NA
 | 03 | 045,NA
 | 04 | 026,NA
 | 04 | 045,NA
 | 05 | 026,NA
 | 05 | 045,NA
 | 06 | 026,NA
 | 07 | 026,NA
 | 08 | 026,NA
 | 08 | 038,NA
 | 08 | 076,NA
 | 09 | 026,NA
 | 10 | 026,NA
 | 11 | 026,NA
 | 12 | 026,NA
 | 13 | 026,NA
 | 14 | 026,NA
 | 15 | 026,NA
 | 16 | 026,NA
 | UNPROV | 026,NA
02-01-026,Z01
02-01-027,Z01
02-01-029,Z03Z04
02-01-030,Z03Z04
02-01-031,Z04
02-01-034,Z03Z04
02-01-037,Z05A
02-01-040,NA
02-01-041,Z01
02-01-042,Z03Z04
02-01-045,Z03Z04
02-01-047,Z03Z04
02-01-050,Z05
02-01-051,Z03Z04
02-01-052,Z03Z04
02-01-056,Z03Z04
02-01-057,Z05
02-01-061,Z03Z04
02-01-062,Z03Z04
02-01-063,Z03Z04
02-01-064,Z05
02-01-065,Z05
02-01-067,Z06
02-01-069,Z03Z04
02-01-073,Z06
02-01-082,NA
02-02-028,Z01
02-02-032,Z05
02-02-033,Z01
02-02-035,Z04
02-02-036,Z04
02-02-038,Z03Z04
02-02-043,NA
02-02-044,Z05
02-02-046,Z03Z04
02-02-048,Z05
02-02-053,Z05
02-02-054,Z03Z04
02-02-055,Z05
02-02-058,Z05
02-02-059,Z05
02-02-060,Z05
02-02-066,Z06
02-02-068,Z05
02-02-070,Z07
02-02-075,NA
02-02-080,Z05
02-02-083,Z05
02-02-088,Z05
02-02-090,Z05
02-03-071,Z01
02-03-074,Z03
02-03-078,Z01
02-03-084,Z01
02-03-086,Z01
02-03-087,Z05A
02-03-089,NA
02-03-091,Z05
02-03-095,Z06
02-03-102,NA
02-03-103,Z06
02-03-105,NA
02-03-106,NA
02-03-159,Z01
02-03-161,NA
02-03-174,Z06
