"","CONTEXT","Count"
"320","02-06-167",5
"321","02-06-170",9
"322","02-07-141",98
"323","02-07-142",4
"324","02-07-144",76
"325","02-07-146",38
"326","02-07-148",106
"327","02-07-150",124
"328","02-07-153",61
"329","02-07-155",21
"330","02-07-156",20
"331","02-07-163",21
"332","02-07-164",31
"333","02-07-168",4
"334","02-07-169",8
"335","02-07-171",8
"336","02-07-172",8
"337","02-07-173",3
"338","02-07-176",3
"339","02-07-177",2
"340","02-07-179",5
"341","02-07-180",3
"342","02-07-181",3
"343","02-07-183",14
"344","03-SF",11
"345","03-Trench",14
"346","91-01-001",13
"347","91-01-002",3
"348","91-01-003",12
"349","91-01-004",48
"350","91-01-005",4
"351","91-01-006",28
"352","91-01-007",25
"353","91-01-008",13
"354","91-01-009",6
"355","91-01-010",1
"356","91-02-011",38
"357","91-02-012",5
"358","91-02-013",18
"359","91-02-014",10
"360","91-03-015",32
"361","91-03-016",8
"362","91-03-017a",8
"363","91-03-017b",12
"364","91-03-018",24
"365","91-03-019",9
"366","91-03-020",56
"367","91-03-021",17
"368","91-03-022",16
"369","91-03-023",2
"370","91-03-024",35
"371","91-03-025",9
"372","92-SF",1
"373","93-SF",1
"374","A00 |  | ",151
"375","A00 | 02 | ",16
"376","A00 | 03 | ",22
"377","A00 | 04 | ",59
"378","A00 | 05 | ",93
"379","A00 | 06 | ",90
"380","A00 | 07 | ",27
"381","A00 | 08 | ",18
"382","A00 | UNPROV | ",7
"383","A01 | 01 | ",11
"384","A01 | 02 | ",3
"385","A01 | 03 | ",52
"386","A01 | 03A | ",1
"387","A01 | 04 | ",43
"388","A01 | 05 | ",67
"389","A01 | 06 | ",69
"390","A01 | 07 | ",60
"391","A01 | 08 | ",93
"392","A02 | 01 | ",10
"393","A02 | 02 | ",36
"394","A02 | 03A | ",57
"395","A02 | 03B | ",83
"396","A02 | 04 | ",219
"397","A02 | 05 | ",123
"398","A02 | 06 | ",80
"399","A02 | 07 | ",71
"400","A02 | 09 | ",8
"401","A03 |  | ",4
"402","A03 | 01 | ",7
"403","A03 | 02 | ",18
"404","A03 | 03A | ",51
"405","A03 | 03B | ",108
"406","A03 | 04 | ",406
"407","A03 | 05 | ",133
"408","A03 | 06 | ",21
"409","A03 | 07 | ",130
"410","A03 | 08 | ",52
"411","A03 | 09 | ",25
"412","A03b | 03B | ",14
"413","A04 | 01 | ",27
"414","A04 | 02 | ",50
"415","A04 | 03A | ",58
"416","A04 | 03B | ",86
"417","A04 | 04 | ",79
"418","A04 | 05 | ",67
"419","A04 | 06 | ",50
"420","A04 | 07 | ",47
"421","A04 | 08 | ",3
"422","A05 | 01 | ",10
"423","A05 | 02 | ",61
"424","A05 | 03 | ",62
"425","A05 | 03A | ",1
"426","A05 | 04 | ",31
"427","A05 | 05 | ",37
"428","A05 | 06 | ",104
"429","A05 | 07 | ",43
"430","A05 | 08 | ",17
"431","A06 |  | ",3
"432","A06 | 01 | ",1
"433","A06 | 0102 | ",5
"434","A06 | 010203 | ",17
"435","A06 | 02 | ",19
"436","A06 | 03 | ",2
"437","A06 | 03A | ",44
"438","A06 | 03B | ",49
"439","A06 | 04 | ",83
"440","A06 | 0407 | ",5
"441","A06 | 05 | ",116
"442","A06 | 06 | ",117
"443","A06 | 07 | ",73
"444","A06 | 08 | ",51
"445","A06 | 09 | ",13
"446","A07 | 01 | ",15
"447","A07 | 0102 | ",1
"448","A07 | 02 | ",15
"449","A07 | 03 | ",2
"450","A07 | 03A | ",119
"451","A07 | 03B | ",209
"452","A07 | 04 | ",344
"453","A07 | 05 | ",66
"454","A07 | 06 | ",50
"455","A07 | 07 | ",112
"456","A07 | 08 | ",14
"457","A07 | PIII | ",10
"458","A07 | UNPROV | ",3
"459","A08 | 01 | ",3
"460","A08 | 02 | ",9
"461","A08 | 03A | ",57
"462","A08 | 03B | ",17
"463","A08 | 04 | ",60
"464","A08 | 05 | ",15
"465","A08 | 06 | ",16
"466","A08 | 07 | ",35
"467","A08 | 08 | ",43
"468","A09 |  | ",2
"469","A09 | 01 | ",12
"470","A09 | 02 | ",98
"471","A09 | 03A | ",69
"472","A09 | 03B | ",69
"473","A09 | 04 | ",13
