Unit,Level,Feature,8,7,6,5,4,Total Frag,Mean Bore,Binford Date,,,
A8,5,,,,,1,1,2,4.5,1759.68,,,
A8,6,,,,,3,,3,5,1740.55,,,
A8,7,,,,8,9,,17,5.470588235,1722.545294,,,
A8,8,,,,5,17,,22,5.227272727,1731.854545,,,
A9,1,,,,,2,,2,5,1740.55,,,
A9,2,,,1,4,18,2,25,5.16,1734.4284,,,
A9,3a,,,,,4,3,7,4.571428571,1756.947143,,,
A9,3b,,,,1,1,1,3,5,1740.55,,,
A9,4,,,,1,4,,5,5.2,1732.898,,,
A9,5,,,1,1,17,,19,5.157894737,1734.508947,,,
A9,6,,,,2,11,,13,5.153846154,1734.663846,,,
A9,7,,,,3,1,,4,5.75,1711.855,,,
A9,8,,,,2,1,,3,5.666666667,1715.043333,,,
A10,1 and 2,,,1,,3,,4,5.5,1721.42,,,
A10,2,,,,4,6,,10,5.4,1725.246,,,
A10,3a,,,,6,4,2,12,5.333333333,1727.796667,,,
A10,3b,,,,4,3,2,9,5.222222222,1732.047778,,,
A10,5,,,,5,10,,15,5.333333333,1727.796667,,,
A10,6,,,,7,15,,22,5.318181818,1728.376364,,,
A10,7,,,2,9,6,,17,5.764705882,1711.292353,,,
A10,8,,,1,3,4,,8,5.625,1716.6375,,,
A11,1 and 2,,,,3,7,,10,5.3,1729.072,,,
A11,3a,,,3,11,21,4,39,5.333333333,1727.796667,,,
A11,3b,,,,,2,,2,5,1740.55,,,
A11,4,,,,7,30,3,40,5.1,1736.724,Transcription confusing,,
A11,5,,,,3,32,,35,5.085714286,1737.270571,,,
A11,6,,,,9,27,,36,5.25,1730.985,,,
A11,7,,,7,11,8,,26,5.961538462,1703.761538,,,
A12,1 and 2,,,,1,,,1,6,1702.29,,,
A12,3a,,,7,21,24,,52,5.673076923,1714.798077,,,
A12,3b,,,,1,10,2,13,4.923076923,1743.493077,,,
A12,4,,,5,,33,5,43,5.11627907,1736.101163,,,
A12,5,,,1,8,26,,35,5.285714286,1729.618571,,,
A12,6,,,1,,22,,23,5.086956522,1737.223043,,,
A12,7,,,3,27,57,,87,5.379310345,1726.037586,,,
A12,8,,,3,17,5,,25,5.92,1705.3508,,,
A12,9,,,,1,,,1,6,1702.29,,,
A13,1 and 2,,,,2,,,2,6,1702.29,,,
A13,3a,,,,,1,,1,5,1740.55,,,
A13,4,,,1,1,6,,8,5.375,1726.2025,,,
A13,5,,,,,13,,13,5,1740.55,,,
A13,7,,,,4,5,,9,5.444444444,1723.545556,,,
A13,8,,,1,3,6,,10,5.5,1721.42,,,
A14,3a,,,5,8,21,1,35,5.485714286,1721.966571,,,
A14,4,,,3,5,11,1,20,5.5,1721.42,,,
A14,5,,,,6,37,5,48,5.020833333,1739.752917,,,
A14,6,,,,5,28,,33,5.151515152,1734.75303,,,
A14,7,,,,6,23,,29,5.206896552,1732.634138,,,
A14,8,,1,4,16,8,,29,5.931034483,1704.928621,,,
A15,3a,,,1,13,25,1,40,5.35,1727.159,,,
A15,4,,,,1,5,,6,5.166666667,1734.173333,,,
A15,5,,,,1,6,3,10,4.8,1748.202,,,
A15,6,,,,,5,,5,5,1740.55,,,
A15,7,,,,,1,,1,5,1740.55,,,
A15,8,,,,,2,,2,5,1740.55,,,
A16,1  and 2,,,,1,,,1,6,1702.29,,,
A16,3a,,,2,5,21,1,29,5.275862069,1729.995517,Confusing transcription,,
A16,5,,,,6,26,1,33,5.151515152,1734.75303,,,
A16,6,,,,5,13,,18,5.277777778,1729.922222,,,
A16,7,,,,11,30,,41,5.268292683,1730.285122,,,
A16,8,,1,2,10,3,,16,6.0625,1699.89875,,,
A17,3a,,,,2,2,,4,5.5,1721.42,,,
A17,5,,,,2,7,,9,5.222222222,1732.047778,,,
A17,6,,,1,4,8,,13,5.461538462,1722.891538,,,
A17,7,,1,3,5,7,,16,5.875,1707.0725,,,
A17,8,,1,,,,1,2,6,1702.29,,,
A18,5,,,,1,6,,7,5.142857143,1735.084286,,,
